GO NO,ARREST BOOKING NO_PK,PIN,AGE,SEX,RACE,ETHNICITY,ARREST DATE,ARREST TIME,BT,ARREST REASON,ARREST TYPE,SUMMARY OF FACTS,ARREST OFFICER,ARREST OFFICER NAME,CURRENT STATUS,YOUNG OFFENDER?
SJ2020202750097,SJ202014224,441991557,26,M,B,B,10/1/2020,303,L4,ON VIEW,ON VIEW ARREST,FAILURE TO REGISTER AS A SEX OFFENDER WITH 2 OR MORE PRIORS (ONVW),,,CHARGED/BOOKED,N
SJ2020202750100,SJ202014234,442259411,39,M,W,W,10/1/2020,252,F5,ON VIEW,ON VIEW ARREST,POSSESSION FOR SALE OR PURCHASE FOR PURPOSE OF SALE OF A CONTR (ONVW),,,CHARGED/BOOKED,N
SJ2020202750130,SJ202014361,441748731,25,M,H,H,10/1/2020,907,R1,ON VIEW,ON VIEW ARREST,POSSESSION FOR SALE OR PURCHASE FOR PURPOSE OF SALE OF A CONTR (ONVW),,,CHARGED/BOOKED,N
SJ2020202750130,SJ202014363,441834661,20,M,H,H,10/1/2020,907,,ON VIEW,ON VIEW ARREST,POSSESSION OF FIREARM/AMMO BY PROHIBITED PERSON (ONVW),,,CHARGED/BOOKED,N
SJ2020202750136,SJ202016058,442222004,56,F,H,H,10/1/2020,620,M2,CRIMINAL CITATION,SUMMONED/CITED,DRAW/EXHB F/ARM OTH DEAD WPN (CITE),4447,WELLMAN,CITED,N
SJ2020202750137,SJ202016664,441744487,40,M,W,W,10/1/2020,525,L3,CRIMINAL CITATION,SUMMONED/CITED,POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A PRESCRIPTION (CITE),4892,GOTTWALS,CITED,N
SJ2020202750159,SJ202014406,442244464,29,F,W,W,10/1/2020,629,F5,ON VIEW,ON VIEW ARREST,BURGLARY: FIRST DEGREE (ONVW),4471,MONTESANO,CHARGED/BOOKED,N
SJ2020202750170,SJ202015819,442137298,27,M,H,H,10/1/2020,730,,ON VIEW,ON VIEW ARREST,DUI WITH ALCOHOL 0 08 PERCENT OR MORE (ONVW),,,CHARGED/BOOKED,N
SJ2020202750211,SJ202014364,441840686,37,M,A,A,10/1/2020,28,F2,ON VIEW,ON VIEW ARREST,ROBBERY (ONVW),,,CHARGED/BOOKED,N
SJ2020202750231,SJ202014354,441736371,29,M,B,B,10/1/2020,908,A3,ON VIEW,ON VIEW ARREST,OBSTRUCT/RESIST EXECUTIVE OFFICER (ONVW),,,CHARGED/BOOKED,N
SJ2020202750363,SJ202014380,441984723,29,M,H,H,10/1/2020,1205,X1,ON VIEW,ON VIEW ARREST,USE/UNDER INFL CONTRLD SUBSTANCE (ONVW),,,CHARGED/BOOKED,N
SJ2020202750383,SJ202014547,442276803,51,M,W,W,10/1/2020,1140,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4859,SAYE,CITED,N
SJ2020202750423,SJ202014366,441829881,29,F,H,H,10/1/2020,1329,M1,ON VIEW,ON VIEW ARREST,DRIVING/TAKING VEHICLE W/O OWNERS PERMISSION (ONVW),4344,ALLEN,CHARGED/BOOKED,N
SJ2020202750423,SJ202014365,442050913,30,M,H,H,10/1/2020,1329,M1,ON VIEW,ON VIEW ARREST,BUYS OR RECEIVES STOLEN VEHICLE-VESSEL-ETC (ONVW),4571,DOAN,CHARGED/BOOKED,N
SJ2020202750425,SJ202014368,442192173,34,M,H,H,10/1/2020,1245,P3,ON VIEW,ON VIEW ARREST,KIDNAPPING DURING CAR JACKING (ONVW),,,CHARGED/BOOKED,N
SJ2020202750426,SJ202014367,305988106,38,M,B,B,10/1/2020,1306,R3,ON VIEW,ON VIEW ARREST,POSSESS CONTROLLED SUBSTANCE (ONVW),,,CHARGED/BOOKED,N
SJ2020202750462,SJ202014403,441791410,37,M,H,H,10/1/2020,1341,V1,ON VIEW,ON VIEW ARREST,POSSESS CONTROLLED SUBSTANCE (ONVW),,,CHARGED/BOOKED,N
SJ2020202750465,SJ202014368,442192173,34,M,H,H,10/1/2020,1245,P3,ON VIEW,ON VIEW ARREST,KIDNAPPING DURING CAR JACKING (ONVW),,,CHARGED/BOOKED,N
SJ2020202750472,SJ202014390,442275814,31,M,H,H,10/1/2020,1435,R2,ON VIEW,ON VIEW ARREST,VIO CRT ORD TO PREVNT DOMES VIOL (ONVW),,,CHARGED/BOOKED,N
SJ2020202750627,SJ202014541,441824848,36,M,H,H,10/1/2020,1650,V1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4590,DIAZ,CITED,N
SJ2020202750627,SJ202015932,441824848,36,M,H,H,10/1/2020,1650,V1,CRIMINAL CITATION,SUMMONED/CITED,DEFRAUD AND INNKEEPER (CITE),4590,DIAZ,CITED,N
SJ2020202750631,SJ202014396,442276859,29,M,W,W,10/1/2020,1648,S6,ON VIEW,ON VIEW ARREST,ASLT W/DEAD WPN/PRODUCE GBI (ONVW),,,CHARGED/BOOKED,N
SJ2020202750741,SJ202014542,441768210,29,M,B,B,10/1/2020,1900,M4,CRIMINAL CITATION,SUMMONED/CITED,TRESPASSING (CITE),4768,NGO,CITED,N
SJ2020202750756,SJ202014397,441812925,34,M,H,H,10/1/2020,1846,C4,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2020202750779,SJ202014715,442014416,39,F,W,W,10/1/2020,1907,Y3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4436,LEDWITH,CITED,N
SJ2020202750779,SJ202014709,441898835,36,M,W,W,10/1/2020,1902,X4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4431,NGUYEN,CITED,N
SJ2020202750819,SJ202014393,441743742,55,M,H,H,10/1/2020,1943,M2,ON VIEW,ON VIEW ARREST,POSSESS UNLAWFUL PARAPHERNALIA (ONVW),,,CHARGED/BOOKED,N
SJ2020202750838,SJ202014404,442073180,41,M,O,H,10/1/2020,2004,F4,ON VIEW,ON VIEW ARREST,"RESISTING, DELAYING, OBSTRUCTING AN OFFICER (ONVW)",,,CHARGED/BOOKED,N
SJ2020202750852,SJ202014546,441729925,28,F,H,H,10/1/2020,2020,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4818,HO,CITED,N
SJ2020202750852,SJ202014545,442193573,44,M,H,H,10/1/2020,2017,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4818,HO,CITED,N
SJ2020202750871,SJ202016756,441789541,40,F,H,H,10/1/2020,2130,F3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4336,BARRERA,CITED,N
SJ2020202750910,SJ202014543,441807931,46,M,H,H,10/1/2020,2135,M3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4552,ADGAR,CITED,N
SJ2020202750910,SJ202014544,442076386,35,M,H,H,10/1/2020,2112,M3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4552,ADGAR,CITED,N
SJ2020202750910,SJ202015933,441807931,46,M,H,H,10/1/2020,2125,M3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4557,HAGGERTY,CITED,N
SJ2020202750997,SJ202014424,441819271,43,M,H,H,10/1/2020,2330,L5,ON VIEW,ON VIEW ARREST,DUI WITH ALCOHOL 0 08 PERCENT OR MORE (ONVW),,,CHARGED/BOOKED,N
SJ2020202751007,SJ202014476,442277062,22,M,W,W,10/1/2020,2331,F4,ON VIEW,ON VIEW ARREST,DRIVING UNDER THE INFLUENCE (ONVW),,,CHARGED/BOOKED,N
SJ2020202751022,SJ202014432,441818725,30,M,H,H,10/1/2020,2341,P2,ON VIEW,ON VIEW ARREST,BAT:SPOUSE/EX SP/DATE/ETC (ONVW),,,CHARGED/BOOKED,N
SJ2020202751039,SJ202014539,441899567,36,M,W,W,10/1/2020,2317,A3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4814,CONWAY,CITED,N
SJ2020202760060,SJ202014435,9175305,35,M,H,H,10/1/2020,250,S5,ON VIEW,ON VIEW ARREST,SEXUAL BATTERY UPON INSTITUTIONALIZED PERSON (ONVW),4535,BOLDUC,CHARGED/BOOKED,N
SJ2020202760087,SJ202014405,442150290,38,M,H,H,10/1/2020,314,Y4,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),4696,TAVARES,CHARGED/BOOKED,N
SJ2020J3444624 C,SJ202014541,441824848,36,M,H,H,10/1/2020,1650,V1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4590,DIAZ,CITED,N
SJ2020J3457298 C,SJ202016058,442222004,56,F,H,H,10/1/2020,620,M2,CRIMINAL CITATION,SUMMONED/CITED,DRAW/EXHB F/ARM OTH DEAD WPN (CITE),4447,WELLMAN,CITED,N
SJ2020J3460974 C,SJ202014546,441729925,28,F,H,H,10/1/2020,2020,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4818,HO,CITED,N
SJ2020J3465497 C,SJ202014419,441828135,30,M,H,H,10/1/2020,10,F5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4833,PADILLA NAVARIJO,CITED,N
SJ2020J3467020 C,SJ202014539,441899567,36,M,W,W,10/1/2020,2317,A3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4814,CONWAY,CITED,N
SJ2020J3469775 C,SJ202014540,441987984,26,M,H,H,10/1/2020,241,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4892,GOTTWALS,CITED,N
SJ2020J3469943 C,SJ202014547,442276803,51,M,W,W,10/1/2020,1140,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4859,SAYE,CITED,N
SJ2020J3470538 C,SJ202014709,441898835,36,M,W,W,10/1/2020,1902,X4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4431,NGUYEN,CITED,N
SJ2020J3470568 C,SJ202014545,442193573,44,M,H,H,10/1/2020,2017,L4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4818,HO,CITED,N
SJ2020J3471148 C,SJ202014715,442014416,39,F,W,W,10/1/2020,1907,Y3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4436,LEDWITH,CITED,N
SJ2020J3471580 C,SJ202016756,441789541,40,F,H,H,10/1/2020,2130,F3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4336,BARRERA,CITED,N
SJ2020J3471803 C,SJ202014543,441807931,46,M,H,H,10/1/2020,2135,M3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4552,ADGAR,CITED,N
SJ2020J3471804 C,SJ202014544,442076386,35,M,H,H,10/1/2020,2112,M3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4552,ADGAR,CITED,N
SJ2020J3472153 C,SJ202014542,441768210,29,M,B,B,10/1/2020,1900,M4,CRIMINAL CITATION,SUMMONED/CITED,TRESPASSING (CITE),4768,NGO,CITED,N
SJ2020J3472776 C,SJ202016664,441744487,40,M,W,W,10/1/2020,525,L3,CRIMINAL CITATION,SUMMONED/CITED,POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A PRESCRIPTION (CITE),4892,GOTTWALS,CITED,N
SJ2020J3473076 C,SJ202014239,221053462,43,M,H,H,10/1/2020,107,,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4817,SOLAS,CITED,N
SJ2020WARRANT C,SJ202015932,441824848,36,M,H,H,10/1/2020,1650,V1,CRIMINAL CITATION,SUMMONED/CITED,DEFRAUD AND INNKEEPER (CITE),4590,DIAZ,CITED,N
SJ2020WARRANT C,SJ202015933,441807931,46,M,H,H,10/1/2020,2125,M3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4557,HAGGERTY,CITED,N
SJ2020WARRANT C,SJ202014747,442028016,27,F,B,B,10/1/2020,1450,V1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),,,CITED,N
SJ2020WARRANT C,SJ202014360,442233540,19,M,H,H,10/1/2020,1200,V1,CRIMINAL CITATION,SUMMONED/CITED,BRANDISHING A FIREARM (CITE),,,CITED,N
SJ2020WARRANT C,SJ202014358,441919082,32,M,W,W,10/1/2020,1145,V1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),,,CITED,N
SJ2020200300042,SJ202019419,442277506,43,M,B,B,10/2/2020,1508,,LOCAL ARREST WARRANT,TAKEN INTO CUSTODY/WARRANT ARREST ONLY,KILLING OF A HUMAN BEING OR FETUS WITH MALICE AFORETHOUGHT (LWAR),,,CHARGED/BOOKED,N
SJ2020201390216,SJ202015320,442256582,38,M,F,F,10/2/2020,1052,Y3,LOCAL ARREST WARRANT,TAKEN INTO CUSTODY/WARRANT ARREST ONLY,ORAL COPULATION OR SEXUAL PENETRATION W/CHILD 10YRS OR YOUNGER (LWAR),4442,YUE,CHARGED/BOOKED,N
SJ2020202670426,SJ202015879,442281109,30,F,W,W,10/2/2020,2210,,ON VIEW,ON VIEW ARREST,VANDALISM (ONVW),,,CHARGED/BOOKED,N
SJ2020202760004,SJ202014415,441756343,34,M,H,H,10/2/2020,45,F5,ON VIEW,ON VIEW ARREST,VIO CRT ORD TO PREVNT DOMES VIOL (ONVW),4471,MONTESANO,CHARGED/BOOKED,N
SJ2020202760027,SJ202014710,441996896,25,M,W,W,10/2/2020,1235,A3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4826,SEBASTIAN,CITED,N
SJ2020202760031,SJ202014417,441982068,37,M,H,H,10/2/2020,153,C6,ON VIEW,ON VIEW ARREST,POSSESSION OF A DIRK OR DAGGER (ONVW),,,CHARGED/BOOKED,N
SJ2020202760034,SJ202014474,442277054,41,M,A,A,10/2/2020,915,T1,ON VIEW,ON VIEW ARREST,DUI AND CAUSING BODILY INJURY TO ANOTHER PERSON (ONVW),,,CHARGED/BOOKED,N
SJ2020202760046,SJ202014431,441889674,27,M,H,G,10/2/2020,135,,ON VIEW,ON VIEW ARREST,CARRYING CONCEALED FIREARM AS NON-REGISTERED OWNERSHIP (ONVW),,,CHARGED/BOOKED,N
SJ2020202760063,SJ202014407,442184088,41,M,A,A,10/2/2020,209,Y4,ON VIEW,ON VIEW ARREST,POSSESS CONTROLLED SUBSTANCE (ONVW),,,CHARGED/BOOKED,N
SJ2020202760095,SJ202014434,441750199,20,M,H,H,10/2/2020,351,V3,ON VIEW,ON VIEW ARREST,CARRY CONCEALED WEAPON IN VEHICLE (ONVW),,,CHARGED/BOOKED,N
SJ2020202760122,SJ202014535,217710850,37,M,W,W,10/2/2020,1025,T4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4460,KIM,CITED,N
SJ2020202760122,SJ202014536,441834640,18,M,W,W,10/2/2020,1021,T4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4478,VILLAESCUSA,CITED,N
SJ2020202760200,SJ202014436,442276951,20,M,A,A,10/2/2020,901,A1,ON VIEW,ON VIEW ARREST,UNDER COMBINED INFLUENCE ANY ALCOHOLIC BEV & DRUG TO DRIVE VEH (ONVW),,,CHARGED/BOOKED,N
SJ2020202760221,SJ202014441,442277001,33,M,B,B,10/2/2020,913,E3,ON VIEW,ON VIEW ARREST,RAPE:NOT SPECIFIED (ONVW),4802,MEDINA,CHARGED/BOOKED,N
SJ2020202760236,SJ202014472,441723903,20,M,H,H,10/2/2020,2040,S2,ON VIEW,ON VIEW ARREST,INFLICT CORP INJ ON SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2020202760265,SJ202014480,17301769,55,M,W,W,10/2/2020,1205,T5,ON VIEW,ON VIEW ARREST,DEFENDANT RELEASED ON BAIL/OWN RECOG OR REVOK (ONVW),,,CHARGED/BOOKED,N
SJ2020202760265,SJ202014481,181272836,36,M,W,W,10/2/2020,1210,T5,ON VIEW,ON VIEW ARREST,POSS CONTRLD SUB F/SALE (ONVW),,,CHARGED/BOOKED,N
SJ2020202760343,SJ202014440,442276270,25,M,B,B,10/2/2020,1220,X2,ON VIEW,ON VIEW ARREST,POSSESS CONTROL SUBSTANCE PARAPHERNA (ONVW),,,CHARGED/BOOKED,N
SJ2020202760430,SJ202014471,441870219,40,M,W,W,10/2/2020,1335,T5,ON VIEW,ON VIEW ARREST,OBSTRUCT/RESIST PUB OFCR (ONVW),,,CHARGED/BOOKED,N
SJ2020202760455,SJ202014460,441730051,30,F,W,W,10/2/2020,1426,M1,ON VIEW,ON VIEW ARREST,HIT&RUN/RESULTING IN INJ/DEATH (ONVW),,,CHARGED/BOOKED,N
SJ2020202760456,SJ202014457,441736036,27,M,A,D,10/2/2020,1645,L1,ON VIEW,ON VIEW ARREST,VANDALISM (ONVW),4503,JOHNSON,CHARGED/BOOKED,N
SJ2020202760467,SJ202014439,441982068,37,M,H,H,10/2/2020,1540,C6,ON VIEW,ON VIEW ARREST,POSSESSION OF A DIRK OR DAGGER (ONVW),4864,CORDERO,CHARGED/BOOKED,N
SJ2020202760539,SJ202014473,441753170,23,M,H,H,10/2/2020,1704,C1,ON VIEW,ON VIEW ARREST,FELON IN POSSESSION OF A GUN (ONVW),,,CHARGED/BOOKED,N
SJ2020202760547,SJ202014454,291373328,42,F,W,W,10/2/2020,1635,C3,ON VIEW,ON VIEW ARREST,BATTERY (ONVW),,,CHARGED/BOOKED,N
SJ2020202760548,SJ202015882,442272828,29,F,A,A,10/2/2020,1653,,ON VIEW,ON VIEW ARREST,INFLICT CORPORAL INJ SPOUSE/COHAB (ONVW),,,CHARGED/BOOKED,N
SJ2020202760560,SJ202014461,441810447,27,M,H,H,10/2/2020,1707,E4,ON VIEW,ON VIEW ARREST,DISORDERLY CONDUCT/ALCOHOL (ONVW),,,CHARGED/BOOKED,N
SJ2020202760576,SJ202014537,441746758,22,M,A,A,10/2/2020,1700,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4110,COLLINS,CITED,N
SJ2020202760629,SJ202016740,263061767,44,M,H,H,10/2/2020,1728,R2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4674,ZEPEDA JR,CITED,N
SJ2020202760706,SJ202014455,441730823,34,M,H,H,10/2/2020,1838,X2,ON VIEW,ON VIEW ARREST,POSSESS CONTROL SUBSTANCE PARAPHERNA (ONVW),,,CHARGED/BOOKED,N
SJ2020202760779,SJ202014463,211550744,41,M,H,H,10/2/2020,2020,L4,ON VIEW,ON VIEW ARREST,POSSESS CONTROLLED SUBSTANCE (ONVW),,,CHARGED/BOOKED,N
SJ2020202760788,SJ202014459,442086758,36,M,H,H,10/2/2020,2010,C3,ON VIEW,ON VIEW ARREST,DISORDERLY CONDUCT/ALCOHOL (ONVW),,,CHARGED/BOOKED,N
SJ2020202760906,SJ202014538,442158682,38,M,W,W,10/2/2020,2047,A3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4847,GUERRA,CITED,N
SJ2020202760950,SJ202014466,442232557,41,F,W,W,10/2/2020,2317,E4,ON VIEW,ON VIEW ARREST,BRING NARC/ALCO/ETC INTO PRIS/JL (ONVW),,,CHARGED/BOOKED,N
SJ2020202760968,SJ202014522,441739612,21,F,H,H,10/2/2020,2310,L1,ON VIEW,ON VIEW ARREST,"RESISTING, DELAYING, OBSTRUCTING AN OFFICER (ONVW)",,,CHARGED/BOOKED,N
SJ2020202760974,SJ202016360,442276763,25,M,H,H,10/2/2020,2320,,ON VIEW,ON VIEW ARREST,VANDALISM ($400.00 OR MORE) (ONVW),,,CHARGED/BOOKED,N
SJ2020202760976,SJ202018100,441999763,20,M,H,H,10/2/2020,2330,L5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONCENTRATED CANNABIS (CITE),4815,HASSAN,CITED,N
SJ2020J3465950 C,SJ202014536,441834640,18,M,W,W,10/2/2020,1021,T4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4478,VILLAESCUSA,CITED,N
SJ2020J3466425 C,SJ202018100,441999763,20,M,H,H,10/2/2020,2330,L5,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONCENTRATED CANNABIS (CITE),4815,HASSAN,CITED,N
SJ2020J3467321 C,SJ202014549,442277247,29,M,O,O,10/2/2020,2200,,CRIMINAL CITATION,SUMMONED/CITED,RECKLESS DRIVING (CITE),2993,NUNES,CITED,N
SJ2020J3467973 C,SJ202014710,441996896,25,M,W,W,10/2/2020,1235,A3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4826,SEBASTIAN,CITED,N
SJ2020J3468403 C,SJ202014537,441746758,22,M,A,A,10/2/2020,1700,P1,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4110,COLLINS,CITED,N
SJ2020J3469092 C,SJ202015868,441947577,32,M,W,W,10/2/2020,1958,C3,CRIMINAL CITATION,SUMMONED/CITED,DRIV W/LIC SUSP/REVOKED FOR REFUSL CHEM TEST W/EXCESS BAC 0.08 (CITE),4862,FULLERTON-SANDER,CITED,N
SJ2020J3471184 C,SJ202014538,442158682,38,M,W,W,10/2/2020,2047,A3,CRIMINAL CITATION,SUMMONED/CITED,POSSESS CONTROLLED SUBSTANCE (CITE),4847,GUERRA,CITED,N
SJ2020J3471731 C,SJ202014535,217710850,37,M,W,W,10/2/2020,1025,T4,CRIMINAL CITATION,SUMMONED/CITED,POSSESS NARC CONTROL SUBSTANCE (CITE),4460,KIM,CITED,N
SJ2020J3471901 C,SJ202016740,263061767,44,M,H,H,10/2/2020,1728,R2,CRIMINAL CITATION,SUMMONED/CITED,POSSESS UNLAWFUL PARAPHERNALIA (CITE),4674,ZEPEDA JR,CITED,N
SJ4313J3467321 C,SJ202014549,442277247,29,M,O,O,10/2/2020,2200,,CRIMINAL CITATION,SUMMONED/CITED,RECKLESS DRIVING (CITE),2993,NUNES,CITED,N
SJ2020202410547,SJ202014621,442276756,23,F,W,W,10/3/2020,2000,UI,ON VIEW,ON VIEW ARREST,VANDALISM ($400.00 OR MORE) (ONVW),4324,JIZE,CHARGED/BOOKED,N
SJ2020202570789,SJ202014482,442195445,37,M,H,H,10/3/2020,245,C6,ON VIEW,ON VIEW ARREST,THEFT OR UNAUTHORIZED USE OF VEHICLE (ONVW),,,CHARGED/BOOKED,N
